"participant","date","distance test","start landmark","target landmark","estimated distance","actual distance","same or different route","spss level"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Snow Church","164","104.38869670610895","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Tobler Museum","101","150.98675438593943","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Batty House","555","572.1057594536171","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Harris Hall","479","369.2830892418444","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Harvey House","406","379.0118731649445","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Lynch Station","510","583.5923234587651","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Golledge Hall","419","583.5923234587651","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Harvey House","292","409.0110022970042","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Sauer Center","607","624.0640992718617","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Snow Church","466","670.4811705036914","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Harris Hall","137","221.472345903501","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Tobler Museum","620","469.4262455381037","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Harris Hall","206","207.18349355100662","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Sauer Center","647","658.8846636551802","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Lynch Station","130","123.06502346320826","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Golledge Hall","539","572.1057594536171","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Snow Church","533","668.6733133601191","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Tobler Museum","613","484.08470333196857","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Snow Church","360","482.63547320933634","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Sauer Center","448","568.4804306218465","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Batty House","222","321.6286678764814","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Harris Hall","226","239.70815588961506","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Tobler Museum","470","382.8276374558138","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Lynch Station","305","409.0110022970042","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Harris Hall","576","463.0","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Lynch Station","654","670.4811705036914","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Tobler Museum","193","208.21623375712088","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Golledge Hall","146","104.38869670610895","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Sauer Center","95","198.8793604173143","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","Harvey House","322","482.63547320933634","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Golledge Hall","238","238.8723508487326","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Lynch Station","658","624.0640992718617","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Tobler Museum","115","189.76037521042164","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Harvey House","451","568.4804306218465","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Harris Hall","517","457.68329661459137","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","Batty House","646","658.8846636551802","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Sauer Center","101","189.76037521042164","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Lynch Station","484","469.4262455381037","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Snow Church","154","208.21623375712088","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Harris Hall","352","277.7642885613628","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Golledge Hall","61","150.98675438593943","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","Harvey House","259","382.8276374558138","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Harvey House","0","239.70815588961506","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Batty House","310","207.18349355100662","same","0same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Tobler Museum","224","277.7642885613628","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Golledge Hall","137","369.2830892418444","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Sauer Center","195","457.68329661459137","different","0different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Snow Church","217","463.0","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Harvey House","533","568.4804306218465","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Snow Church","456","198.8793604173143","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Batty House","611","658.8846636551802","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Harris Hall","540","457.68329661459137","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Tobler Museum","145","189.76037521042164","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","Golledge Hall","225","238.8723508487326","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Harvey House","0","482.63547320933634","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Golledge Hall","96","104.38869670610895","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Tobler Museum","233","208.21623375712088","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Harris Hall","398","463.0","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Sauer Center","251","198.8793604173143","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","Lynch Station","651","670.4811705036914","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Harvey House","49","239.70815588961506","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Sauer Center","408","457.68329661459137","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Lynch Station","190","221.472345903501","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Tobler Museum","444","277.7642885613628","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Batty House","232","207.18349355100662","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","Snow Church","194","463.0","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Golledge Hall","518","379.0118731649445","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Batty House","210","321.6286678764814","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Harris Hall","44","239.70815588961506","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Tobler Museum","552","382.8276374558138","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Lynch Station","243","409.0110022970042","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","Sauer Center","533","568.4804306218465","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Tobler Museum","562","484.08470333196857","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Golledge Hall","564","572.1057594536171","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Harris Hall","334","207.18349355100662","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Snow Church","668","668.6733133601191","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Harvey House","476","321.6286678764814","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","Sauer Center","590","658.8846636551802","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Lynch Station","443","469.4262455381037","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Sauer Center","159","189.76037521042164","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Snow Church","215","208.21623375712088","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Harris Hall","424","277.7642885613628","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Golledge Hall","282","150.98675438593943","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","Batty House","429","484.08470333196857","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Golledge Hall","283","583.5923234587651","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Batty House","85","123.06502346320826","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Snow Church","549","670.4811705036914","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Sauer Center","500","624.0640992718617","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Tobler Museum","499","469.4262455381037","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","Harris Hall","453","221.472345903501","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Batty House","537","572.1057594536171","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Sauer Center","345","238.8723508487326","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Harvey House","388","379.0118731649445","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Tobler Museum","353","150.98675438593943","same","0same"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Harris Hall","423","369.2830892418444","different","0different"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","Snow Church","159","104.38869670610895","same","0same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","Tobler Museum","120","150.98675438593943","same","0same"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","Batty House","32","572.1057594536171","different","0different"
