"participant","date","model number","building","x","y","error"
"Utah_101","2017-06-05 13:06:25 -0700","0","Sauer Center","100","460","694.7301634447723"
"Utah_101","2017-06-05 13:06:25 -0700","0","Snow Church","144","318","583.0548859241297"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","370","-5","380.5325216062354"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","118","103","420.5948168962618"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","467","154","262.08395601409865"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","144","5","291.5098626118849"
"Utah_101","2017-06-05 13:06:25 -0700","0","Tobler Museum","428","465","349.10456886153753"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","427","335","143.8923208513922"
"Utah_102","2017-06-12 11:04:25 -0700","0","Golledge Hall","498","7","291.5681738461864"
"Utah_102","2017-06-12 11:04:25 -0700","0","Snow Church","232","16","519.5931100389996"
"Utah_102","2017-06-12 11:04:25 -0700","0","Lynch Station","502","429","577.1698190307598"
"Utah_102","2017-06-12 11:04:25 -0700","0","Batty House","680","519","698.1532782992572"
"Utah_102","2017-06-12 11:04:25 -0700","0","Tobler Museum","233","185","267.52383071420013"
"Utah_102","2017-06-12 11:04:25 -0700","0","Sauer Center","420","157","255.2038400965001"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harvey House","40","274","330.20751051422195"
"Utah_102","2017-06-12 11:04:25 -0700","0","Harris Hall","110","454","251.01593574910737"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harvey House","15","95","479.5216366338437"
"Utah_104","2017-06-26 10:13:02 -0700","0","Batty House","589","27","613.0815606426277"
"Utah_104","2017-06-26 10:13:02 -0700","0","Tobler Museum","639","72","154.3243337908834"
"Utah_104","2017-06-26 10:13:02 -0700","0","Sauer Center","646","191","187.18172987767795"
"Utah_104","2017-06-26 10:13:02 -0700","0","Snow Church","652","343","152.11837495845134"
"Utah_104","2017-06-26 10:13:02 -0700","0","Golledge Hall","291","6","394.65681294005304"
"Utah_104","2017-06-26 10:13:02 -0700","0","Harris Hall","328","469","267.9888057363591"
"Utah_104","2017-06-26 10:13:02 -0700","0","Lynch Station","31","297","174.04022523543227"
"Utah_105","2017-06-26 11:16:59 -0700","0","Golledge Hall","46","148","537.3760322158032"
"Utah_105","2017-06-26 11:16:59 -0700","0","Snow Church","334","198","382.06413074247104"
"Utah_105","2017-06-26 11:16:59 -0700","0","Sauer Center","191","16","434.1393785410395"
"Utah_105","2017-06-26 11:16:59 -0700","0","Tobler Museum","273","127","220.05681084665386"
"Utah_105","2017-06-26 11:16:59 -0700","0","Lynch Station","453","449","547.8193132776536"
"Utah_105","2017-06-26 11:16:59 -0700","0","Harvey House","541","309","303.29028998634294"
"Utah_105","2017-06-26 11:16:59 -0700","0","Batty House","625","391","609.7253480051489"
"Utah_105","2017-06-26 11:16:59 -0700","0","Harris Hall","389","327","201.1889659002203"
"Utah_107","2017-06-27 09:21:03 -0700","0","Golledge Hall","21","228","546.6424791397025"
"Utah_107","2017-06-27 09:21:03 -0700","0","Batty House","48","24","248.8875247978492"
"Utah_107","2017-06-27 09:21:03 -0700","0","Lynch Station","335","0","345.98410368107955"
"Utah_107","2017-06-27 09:21:03 -0700","0","Harris Hall","568","146","361.95165423023"
"Utah_107","2017-06-27 09:21:03 -0700","0","Harvey House","390","174","325.4796460610095"
"Utah_107","2017-06-27 09:21:03 -0700","0","Snow Church","224","376","520.8694654133606"
"Utah_107","2017-06-27 09:21:03 -0700","0","Sauer Center","614","447","442.13685664056555"
"Utah_107","2017-06-27 09:21:03 -0700","0","Tobler Museum","338","447","360.06943774777665"
"Utah_108","2017-06-28 10:12:11 -0700","0","Sauer Center","53","54","574.0949398836398"
"Utah_108","2017-06-28 10:12:11 -0700","0","Snow Church","459","39","305.94934221207274"
"Utah_108","2017-06-28 10:12:11 -0700","0","Tobler Museum","54","232","452.57154130590226"
"Utah_108","2017-06-28 10:12:11 -0700","0","Lynch Station","25","358","234.3608329051593"
"Utah_108","2017-06-28 10:12:11 -0700","0","Batty House","41","519","247.39644298170498"
"Utah_108","2017-06-28 10:12:11 -0700","0","Harris Hall","333","333","159.28904544883179"
"Utah_108","2017-06-28 10:12:11 -0700","0","Golledge Hall","479","207","119.50313803411188"
"Utah_108","2017-06-28 10:12:11 -0700","0","Harvey House","666","352","395.0607548213313"
"Utah_109","2017-06-28 10:58:47 -0700","0","Lynch Station","108","180","111.13955191559843"
"Utah_109","2017-06-28 10:58:47 -0700","0","Batty House","13","417","145.67429423202984"
"Utah_109","2017-06-28 10:58:47 -0700","0","Harris Hall","295","458","245.40578640284747"
"Utah_109","2017-06-28 10:58:47 -0700","0","Golledge Hall","684","233","133.2816566523691"
"Utah_109","2017-06-28 10:58:47 -0700","0","Snow Church","470","233","247.58836806279893"
"Utah_109","2017-06-28 10:58:47 -0700","0","Sauer Center","461","-7","164.43843832875572"
