"participant","date","direction test","start landmark","facing landmark","target landmark","bearing","actual direction","abs error","same or different route"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Lynch Station","Harvey House","73","93.19423765817854","20.19423765817851","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Lynch Station","Harris Hall","35","37.52863730402908","2.5286373040290755","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Lynch Station","Tobler Museum","35","37.308021981292235","2.3080219812922564","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Lynch Station","Lynch Station","42","47.3279838915145","5.327983891514521","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Lynch Station","Sauer Center","42","30.33169509747685","11.66830490252315","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Lynch Station","Golledge Hall","54","51.76768153806619","2.232318461933808","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Batty House","Lynch Station","Snow Church","41","48.199475530819626","7.1994755308196545","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Harris Hall","Batty House","135","130.6542463331721","4.345753666827903","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Harris Hall","Sauer Center","135","29.209033423777644","105.79096657622236","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Harris Hall","Harvey House","50","48.195938013595914","1.8040619864040863","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Harris Hall","Tobler Museum","6","17.95076442063424","11.950764420634243","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Harris Hall","Golledge Hall","17","3.3238637380609717","13.676136261939028","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Harris Hall","Harris Hall","17","7.021704670907995","9.978295329092006","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Lynch Station","Harris Hall","Snow Church","6","8.968174613078455","2.9681746130784745","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Harvey House","Lynch Station","116","114.56279427841685","1.4372057215831546","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Harvey House","Snow Church","105","84.72811220292519","20.27188779707481","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Harvey House","Golledge Hall","155","77.71082192465417","77.28917807534583","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Harvey House","Sauer Center","133","110.65743363432563","22.342566365674372","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Harvey House","Tobler Museum","145","99.95984558186653","45.04015441813347","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Harvey House","Harvey House","16","2.1467969036293297","13.85320309637067","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harris Hall","Harvey House","Batty House","76","83.35216568459657","7.352165684596571","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Harris Hall","Batty House","38","46.546899122186026","8.546899122186005","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Harris Hall","Snow Church","35","66.19140237525873","31.191402375258747","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Harris Hall","Golledge Hall","71","64.95302540271733","6.04697459728267","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Harris Hall","Tobler Museum","71","42.146158627272044","28.853841372727956","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Harris Hall","Sauer Center","30","46.2920539630187","16.292053963018702","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Harris Hall","Harris Hall","12","4.196894849005717","7.803105150994283","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Harvey House","Harris Hall","Lynch Station","30","32.282464292919585","2.282464292919599","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Snow Church","Tobler Museum","143","147.02844706156864","4.028447061568613","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Snow Church","Snow Church","2","1.2041344013641102","0.7958655986358898","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Snow Church","Lynch Station","139","173.9683139144772","34.96831391447722","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Snow Church","Harris Hall","139","176.20228061379694","37.202280613796916","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Snow Church","Sauer Center","67","76.21088344473236","9.21088344473236","same"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Snow Church","Harvey House","165","139.9309367825621","25.0690632174379","different"
"Utah_101","2017-06-05 13:06:25 -0700","0","Golledge Hall","Snow Church","Batty House","77","173.56946174631722","96.56946174631719","different"
