,id,map$error,samediff.within$abs.error,samediff.between$abs.error,samediff.off.within$abs.error,samediff.off.between$abs.error,samediff.dist.within$error,samediff.dist.between$error,MRT.SDT.style,PSAS.average,Q1,Q3,Q4,Q5,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q25,Q27,Q29,Q32,Q39,Q40,Q42,Q45,Q47,Q49,Q50,Q51,Q52,Q54,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q65,Q66,Q67,Q68,Q69,Q72,Q73,Education,FamSES,Income,Age,Gender,Ethnicity,Kids_1,KidsHome_1,Fav,FavPpl,FavActivity,UStotal,SBtotal,Orient,Route,SA,BFExtraverted,BFAgreeableness,BFConscient,BFEmoStabil,BFOpennness,SOIbehavior,SOIattitude,SOIdesire,SOItotal,ATOTpleasure,ATOTnopleasure
1,Utah_101,390.687887,5.845567313,40.81216025,60.63891888,77.37690388,70.96712375,100.8649616,46,5.5,3,3,2,2,1,2,3,3,1,2,3,4,4,4,4,4,3,2,2,4,4,2,2,5,4,5,5,5,3,5,1,1,1,3,4,3,1,4,2,2,2,1,2,3,5,1,23,Male,Caucasian,0,0,Park,Wife,Play pickleball,11,4.8,3.545454545,4,2,3.5,5.5,6.5,6,4.5,1.333333333,1.333333333,1.666666667,1.444444444,5.2,2.6
2,Utah_102,398.8044373,35.09071187,59.45510176,50.05509651,90.15564574,100.1582456,100.7002388,8,3.1875,4,4,6,1,1,2,3,2,1,3,5,3,5,3,4,1,4,2,3,3,5,2,3,2,2,4,2,2,4,2,4,1,1,2,5,4,3,1,1,3,1,1,1,3,5,2,21,Female,Other,0,0,Wherever family and friends are,family and friends,anything,17,3.266666667,2.090909091,4,2.125,2.5,4.5,7,4,5.5,1.333333333,2.333333333,1,1.555555556,3.6,2.2
3,Utah_104,302.864185,48.88236156,56.99134749,77.76795531,81.61678272,203.9816113,249.3058968,24,3.625,2,4,3,1,1,1,3,5,1,5,4,5,3,5,3,5,5,1,4,1,1,3,3,2,1,2,2,1,1,1,4,1,1,1,4,1,4,4,5,5,5,5,5,3,5,8,35,Female,Caucasian,2,2,home,family,relax,35,2.2,1.909090909,4.333333333,3,6,6,7,3,5,1.333333333,5,2,2.777777778,1.8,4.4
4,Utah_105,404.4575337,38.74061583,57.78718613,76.58616421,70.37709937,96.19554163,112.1415283,22,5.1875,7,4,5,2,1,2,3,2,1,2,5,4,5,4,5,4,4,1,2,4,5,5,5,4,5,4,5,5,5,4,2,1,2,4,4,2,2,1,2,2,4,1,4,3,3,6,24,Male,Caucasian,0,0,Hiking,Sometimes with friends,Explore,14,5.4,3.818181818,3.666666667,1.625,3.5,5.5,5.5,6.5,6,1.666666667,6,3.333333333,3.666666667,5,2.4
5,Utah_107,394.002646,21.90238947,21.41976502,74.7486378,112.4553315,126.9161352,136.3139365,14,4.4375,2,6,4,1,3,2,3,3,1,3,5,5,5,2,2,5,1,1,1,4,4,5,5,5,3,4,4,4,4,2,1,1,1,2,4,1,4,1,1,4,4,1,1,3,5,6,23,Female,Caucasian,0,0,in the canyons,boyfriend/friends,relax,23,4.2,2.909090909,4.333333333,2.125,4.5,5,6.5,4,6,3.666666667,9,5.333333333,6,4.8,2.2
6,Utah_108,311.0282547,18.82318481,25.94674055,81.05882415,73.11571023,75.46596433,59.94978867,12,3.25,3,3,8,4,2,3,2,2,1,4,5,2,5,5,5,2,4,1,2,1,5,5,5,2,4,5,5,5,5,4,2,1,1,5,5,5,4,5,1,5,1,1,1,2,4,1,18,Female,Asian/Pacific-Islanders,0,0,In the outdoors,My friends,Hiking and Dirt Biking,16,5.066666667,3.272727273,5,2.125,1.5,5,4.5,5,6.5,1,2.333333333,1.666666667,1.666666667,4.8,3.2
7,Utah_109,206.9329954,32.31876918,60.76593521,53.53559581,120.7633257,82.57317416,158.151597,30,4.5,3,4,5,2,1,3,3,3,1,4,5,3,5,2,5,1,2,2,3,3,4,5,5,2,3,2,2,4,3,4,3,1,1,5,5,5,4,2,1,1,4,5,1,3,5,1,19,Female,Caucasian,0,0,wilderness,my friends,"mountain bike, hike, camp, ski",14,3.333333333,2.090909091,3.666666667,2.375,3,3.5,6.5,4,7,5.666666667,5.333333333,3.666666667,4.888888889,4.4,1.4
8,Utah_110,107.0254572,14.75573593,17.65536468,73.77731982,79.25873055,71.61190458,93.27400031,22,5.4375,4,4,8,2,2,3,1,2,1,4,5,3,4,2,4,2,3,2,1,4,4,5,5,4,4,4,4,5,4,3,2,1,1,4,4,4,2,2,3,2,3,3,3,5,6,4,28,Male,Caucasian,0,0,Maine ,family ,outdoor activities ,32,4.466666667,3.454545455,3.333333333,2.5,3.5,4,4.5,5,5.5,3.666666667,6,2.333333333,4,4,1.8
9,Utah_111,532.0083781,32.19792968,46.2451062,63.32026214,123.3276582,120.4445075,154.1174045,62,4.875,4,3,2,1,2,1,1,5,1,4,2,4,3,3,2,3,4,4,4,1,4,2,4,2,2,1,3,1,4,1,2,1,5,3,3,3,3,5,3,1,5,1,1,2,4,1,22,Male,Asian/Pacific-Islanders,0,0,barcelona,friends,just hangout with friends,7,2.533333333,2.454545455,2.333333333,3.5,4.5,4.5,7,4.5,5.5,1,3.666666667,1.333333333,2,4,4.2
10,Utah_112,487.6694308,13.6263606,67.76449601,67.61884626,95.68986948,103.2111975,269.6753746,40,3.5625,2,2,2,2,1,2,5,4,1,4,3,5,3,3,3,4,4,1,4,1,3,2,2,5,3,2,5,5,2,2,2,3,4,2,5,2,1,5,2,5,5,1,3,3,1,1,28,Male,Caucasian,0,0,home,friends,play video games and relax,2,4.733333333,4,4.166666667,1.625,1,5,7,5.5,3.5,1.333333333,2.333333333,1.666666667,1.777777778,4.6,3
